Brand,Body,Model,Year,Base Price,Horsepower,Torque,Acceleration time,Braking Distance,Road Holding (lateral acceleration),Fuel Economy,Fuel Economy,Fuel Economy,Fuel Economy,Fuel Economy,Fuel Economy,image,details
Units,,,,,hp @ rpm,lb-ft @ rpm,Zero to 60 mph (s),70-0 mph (ft),300-ft-dia skidpad: ,EPA combined (mpg),city (mpg),highway (mpg),Combined (L/100km),City (L/100km),Highway (L/100km),,
Sedan,,,,,,,,,,,,,,,,,
Audi,Sedan,A4,2017,51800,252 hp @ 6000 rpm,273 lb-ft @ 1600 rpm,5.2,155 ft,0.90 g,27,24,31,10.46,11.77,9.11,https://en.wikipedia.org/wiki/Audi_A4#/media/File:Audi_A4_2.0_TFSI_quattro.jpg,https://www.audi.ca/ca/web/en/models/a4/a4-sedan.html
BMW,Sedan,330i,2017,45900,248 hp @ 5200 rpm,258 lb-ft @ 1450 rpm,5.4,168 ft,0.83 g,27,23,34,10.46,12.28,8.31,http://st.motortrend.ca/uploads/sites/42/2017/02/2017-BMW-330i-front-three-quarter-in-motion-e1487804524229.jpg?interpolation=lanczos-none&fit=around%7C660%3A440,https://www.bmw.ca/en/all-models/3-series.html
Infinity,Sedan,Q50,2018,39900,"208 hp @ 5,500 rpm",258 lb-ft @ 1500-3500 rpm,4.5-6.9,110 ft (60-0 mph),0.87 g (avg) (no skidpad data),25,23,30,11.30,12.28,9.42,http://www.infiniti.ca/content/dam/infiniti/vehicles/2018/q50/overview/2018-infiniti-q50-sedan.jpg,http://www.infiniti.ca/en/sedan/q50?dcp=ppn.118877842.&dcc=0.291620470.71700000010941064&gclid=EAIaIQobChMI6piXq_vu2QIVCg9pCh17OQMaEAAYASAAEgJGR_D_BwE
Lexus,Sedan,IS 300,2017,41050,306 hp @ 6400 rpm,277 lb-ft @ 4800 rpm,6,176 ft,0.84 g,22,19,28,12.84,14.87,10.09,https://s.aolcdn.com/dims-global/dims3/GLOB/legacy_thumbnail/916x515/quality/95/http://www.blogcdn.com/slideshows/images/slides/355/962/0/S3559620/slug/l/2016-lexus-is300-01-1.jpg,https://www.lexus.ca/lexus/en/configure-price/is
BMW,Sedan,440i,2018,56850,320 hp @ 5500 rpm,330 lb-ft @ 1380 rpm,4.4,166 ft,0.86 g,25,21,32,11.30,13.45,8.83,https://s1.cdn.autoevolution.com/images/news/2018-bmw-440i-m-sport-coupe-gets-new-launch-photos-and-videos-117280_1.jpg,https://www.bmw.ca/en/all-models/4-series/coupe/2017/at-a-glance.html
Mercedes,Sedan,C300,2018,44700,241 hp @ 5500 rpm,273 lb-ft @ 1300 rpm,6.1,158 ft,0.94 g,25,22,29,11.30,12.84,9.74,https://www.mercedes-benz.ca/content/dam/mb-nafta/ca/vehicles/class-c/bodystyle-sdn/Non-AMG/Class/1.%20Story%201/I.%20Design/MBCAN-2018-C-SEDAN-CATEGORY-HERO-1-1-DR.jpg,https://www.mercedes-benz.ca/en/vehicles/class/c-class/sedan
,,,,,,,,,,,,,,,,,
Audi,Coupe,A5,2018,46350,252 hp @ 6000 rpm,273 lb-ft @ 1600 rpm,5.6,145 ft,0.96 g,27,24,34,,,,https://audi-encounter.com/media/audi-a7-sportback-engineering-copy/file/2107/teaser_A181735_large.jpg,https://www.audi.ca/ca/web/en/models/a5/a5-coupe-new.html
,,,,,,,,,,,,,,,,,
Volvo,SUV,XC90,2018,59150,316 @ 5700,295 @ 2200,6,167 ft,0.84 g,23,20,27,12.28,14.13,10.46,https://assets.volvocars.com/uk/~/media/united-kingdom/images/cars/xc90/xc90momentummy17.png?h=1080&la=en-GB&w=1920,https://www.volvocars.com/en-ca/cars/new-models/xc90
Lexus,SUV,RX 350,2017,56500,295 @ 6300,267 @ 4700,6.8,123 ft (60-0 mph),0.79 g (avg) (no skidpad data),22,29,26,12.84,9.74,10.87,http://www.motortrend.com/cars/lexus/rx350/2016/#,https://www.lexus.ca/lexus/en/automobiles/rx?model=RX-350
BMW,SUV,X5,2016,69950,"300 @ 5,800–6,400","300 @ 1,200 - 5,000",6.2,165 ft, 0.82 g,24,23,25,11.77,12.28,11.30,https://cars.usnews.com/static/images/Auto/izmo/i58029935/2018_bmw_x5_angularfront.jpg,https://www.bmw.ca/en/all-models/x-series/X5/2013/at-a-glance.html
Audi,SUV,Q7,2017,74750,252 hp @ 6000 rpm,273 lb-ft @ 1600 rpm,7,186 ft,0.80 g,22,20,25,12.84,14.13,11.30,http://www.motortrend.com/cars/audi/q7/2012/#,https://www.audi.ca/ca/web/en/models/q7/q7.html
Mercedes Benz,SUV,GLC 300,2017,50300,241 hp @ 5500 rpm,273 lb-ft @ 1300 rpm,5.9,110 ft (60-0 mph),0.83 g (avg) (no skidpad data),24,21,28,11.77,13.45,10.09,http://www.canadianautoreview.ca/images/car_photos/2017-mercedes-benz-glc-300/glc-300.jpg,https://www.mercedes-benz.ca/en/vehicles/class/glc/suv
Range Rover,SUV,Velar,2018,62000,380 hp @ 6500 rpm,332 lb-ft @ 3500 rpm,5.7,175 ft,0.83 g,20,18,24,14.13,15.69,11.77,https://www.landrover.ca//Images/L560_18MY_252_GLHD_S_Device-Desktop_670x385_294-289647_450x259.jpg?v=8,https://www.landrover.ca/en/vehicles/range-rover-velar/index.html
,,,,,,,,,,,,,,,,,
"Cheaper <$30,000",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Honda,Coupe,Civic,2018,19990,180 hp @ 5500 rpm,177 lb-ft @ 1900 rpm,7,160 ft,0.93 g,33,30,39,8.56,9.42,7.24,https://www.honda.ca/Content/honda.ca/2d46e2eb-e0c9-4f07-8550-3a7a9dc436b3/GenericContent_GC1/my18_civic4D_exterior-01.jpg,https://www.honda.ca/civic_sedan
Mazda,Sedan,3,2018,15900,184 hp @ 5700 rpm,185 lb-ft @ 3250 rpm,7,165 ft,0.85 g,30,27,36,9.42,10.46,7.85,https://ca.mazdacdn.com/common/cars/2018/m3s/360/soul-red-metallic/j36a_bnn1_bbnt_nae_41v_bw8_360_37.ts.1708141436080000.jpg,https://www.mazda.ca/en/vehicles/mazda3/overview/
Toyota,Sedan,Camry,2018,35845,203 hp @ 6600 rpm,184 lb-ft @ 5000 rpm,5.8,167 ft,0.87 g,26,22,32,10.87,12.84,8.83,https://s3.amazonaws.com/toyota.site.toyota-v5/tci-prod/toyota/media/pages/catalogue/camry/2018/overview/gallery/toyota-2018-xle-celestial-silver-metallic-s.jpg?ck=03152018015424,https://www.toyota.ca/toyota/en/vehicles/camry/overview
