,Body,Brand,FE-L100K-CMB,FE-L100K-CTY,FE-L100K-HWY,HP_value,Model,Price,Torque_value,Year,details,image,HP,Torque,Braking,RoadHolding,FuelEconomy
3,Sedan,Audi,8.70,10.00,7.00,252.0,A4,51800,273.0,2017,https://www.audi.ca/ca/web/en/models/a4/a4-sedan.html,https://en.wikipedia.org/wiki/Audi_A4#/media/File:Audi_A4_2.0_TFSI_quattro.jpg,3.1693945653901157,3.7978265791261037,3.058309037900875,3.206967213114753,2.3444057462060184
4,Sedan,BMW,10.46,12.28,8.31,248.0,330i,45900,258.0,2017,https://www.bmw.ca/en/all-models/3-series.html,http://st.motortrend.ca/uploads/sites/42/2017/02/2017-BMW-330i-front-three-quarter-in-motion-e1487804524229.jpg?interpolation=lanczos-none&fit=around%7C660%3A440,3.112188145558557,3.4921892687344354,2.464864417989418,2.4677200135915727,2.3444057462060184
5,Sedan,Infinity,9.65,10.70,8.60,208.0,Q50,39995,258.0,2018,http://www.infiniti.ca/en/sedan/q50?dcp=ppn.118877842.&dcc=0.291620470.71700000010941064&gclid=EAIaIQobChMI6piXq_vu2QIVCg9pCh17OQMaEAAYASAAEgJGR_D_BwE,http://www.infiniti.ca/content/dam/infiniti/vehicles/2018/q50/overview/2018-infiniti-q50-sedan.jpg,2.5401239472429684,3.4921892687344354,3.3206997084548107,2.8483606557377037,2.1707460613018688
6,Sedan,Lexus,12.84,14.87,10.09,306.0,IS 300,41050,277.0,2017,https://www.lexus.ca/lexus/en/configure-price/is,https://s.aolcdn.com/dims-global/dims3/GLOB/legacy_thumbnail/916x515/quality/95/http://www.blogcdn.com/slideshows/images/slides/355/962/0/S3559620/slug/l/2016-lexus-is300-01-1.jpg,3.941681233116161,3.8793298618972156,2.3528251262626263,2.497451580020387,1.9102565339456445
7,Sedan,BMW,11.30,13.45,8.83,320.0,440i,56850,330.0,2018,https://www.bmw.ca/en/all-models/4-series/coupe/2017/at-a-glance.html,https://s1.cdn.autoevolution.com/images/news/2018-bmw-440i-m-sport-coupe-gets-new-launch-photos-and-videos-117280_1.jpg,4.1419037025266165,4.9592483586144445,2.494561579651941,2.7288251366120204,2.1707460613018688
8,Sedan,Mercedes,11.30,12.84,9.74,241.0,C300,44700,273.0,2018,https://www.mercedes-benz.ca/en/vehicles/class/c-class/sedan,https://www.mercedes-benz.ca/content/dam/mb-nafta/ca/vehicles/class-c/bodystyle-sdn/Non-AMG/Class/1.%20Story%201/I.%20Design/MBCAN-2018-C-SEDAN-CATEGORY-HERO-1-1-DR.jpg,3.012076910853329,3.7978265791261037,2.900874635568513,3.685109289617485,2.1707460613018688
10,Coupe,Audi,8.70,10.00,7.00,252.0,A5,46350,273.0,2018,https://www.audi.ca/ca/web/en/models/a5/a5-coupe-new.html,"https://res.cloudinary.com/carsguide/image/upload/f_auto,fl_lossy,q_auto,t_cg_hero_large/v1/editorial/2017-audi-a5-tdi-coupe-silver-1200x800%20%282%29.jpg",3.1693945653901157,3.7978265791261037,3.2157434402332363,3.565573770491803,2.3444057462060184
11,Coupe,Kia,8.45,9.60,7.30,164.0,Forte,23345,151.0,2017,http://www.kia.ca/forte?lang=en&gclid=CjwKCAjwnLjVBRAdEiwAKSGPI6FnN2GhSWvmFfU0DWYlz-7N5R5W09WlLV9TmDQfA8ToAGIAmpBNsBoCa7gQAvD_BwE&gclsrc=aw.ds,http://st.motortrend.ca/uploads/sites/10/2016/09/2016-kia-forte-koup-ex-at-coupe-angular-front.png,1.9981047786652226,1.803583278035833,3.793002915451895,2.609289617486337,2.413869620167678
12,SUV,Volvo,12.28,14.13,10.46,316.0,XC90,59150,295.0,2018,https://www.volvocars.com/en-ca/cars/new-models/xc90,https://assets.volvocars.com/uk/~/media/united-kingdom/images/cars/xc90/xc90momentummy17.png?h=1080&la=en-GB&w=1920,4.084697282695058,4.246094634367218,2.479624085163007,2.497451580020387,1.9970863763977191
13,SUV,Lexus,12.84,9.74,10.87,295.0,RX 350,56500,267.0,2017,https://www.lexus.ca/lexus/en/automobiles/rx?model=RX-350,http://cdntdreditorials.azureedge.net/cache/e/9/3/1/b/1/e931b1664b0a8170727bfbb7f5f6d983a98c9b46.jpg,3.7843635785793737,3.6755716549694366,2.479624085163007,2.3487937478763166,1.9102565339456445
