,date,speed,engine_load,throttle,heading,roll,pitch,sys,gyro,accel,mag,magx,magy,magz,gyrx,gyry,gyrz,linaccx,linaccy,linaxxz,time,time_diff
30,1517152801.53,3.0,0.396078431372549,0.1607843137254902,184.875,-20.4375,13.25,3,0,0,0.0,4.875,-18.5625,-2.0,-0.01,-0.0011111111111099998,0.032222222222199996,0.4,-0.57,0.41,0.0,
31,1517152806.21,2.0,0.41568627450980394,0.16862745098039217,152.8125,-17.3125,11.625,0,0,0,0.0,18.1875,-12.875,-1.375,-0.0777777777778,-0.0177777777778,0.0511111111111,-0.02,-0.35,-0.02,4.680000066757202,4.680000066757202
32,1517152810.86,12.0,0.25098039215686274,0.1607843137254902,108.375,-15.6875,9.5625,0,0,0,0.0,16.875,-13.0625,0.375,-0.00777777777778,0.023333333333299996,-0.0855555555556,0.13,-0.37,0.04,9.329999923706055,4.6499998569488525
33,1517152815.49,9.0,0.3411764705882353,0.1607843137254902,125.6875,-20.25,12.4375,0,0,0,0.0,9.6875,5.75,0.75,0.08,0.0544444444444,-0.30444444444400004,-0.26,0.08,-0.23,13.960000038146973,4.630000114440918
34,1517152820.14,8.0,0.35294117647058826,0.16470588235294117,203.625,-19.625,15.6875,0,0,0,0.0,-6.0625,11.1875,-3.75,-0.0522222222222,-0.0022222222222199996,-0.302222222222,0.95,-0.08,0.16,18.610000133514404,4.650000095367432
35,1517152824.79,12.0,0.5019607843137255,0.2196078431372549,247.375,-16.0625,15.9375,0,0,0,0.0,-14.75,-6.875,-17.5,0.07111111111110001,-0.0033333333333300003,0.04666666666669999,0.32,0.96,-0.53,23.259999990463257,4.6499998569488525
36,1517152829.48,29.0,0.5529411764705883,0.21568627450980393,295.75,-11.5625,10.1875,0,0,0,0.0,-13.375,-5.75,-18.5625,-0.0866666666667,0.0166666666667,0.1,-0.47,0.57,0.19,27.950000047683716,4.690000057220459
37,1517152834.14,38.0,0.6039215686274509,0.22745098039215686,277.125,-13.1875,10.5625,0,0,0,0.0,-13.5,2.0625,-18.6875,0.07111111111110001,0.00777777777778,0.026666666666700003,-0.53,-0.83,-0.7,32.610000133514404,4.6600000858306885
38,1517152838.82,45.0,0.45098039215686275,0.20784313725490197,272.375,-13.875,10.5,0,0,0,0.0,-13.1875,-2.25,-20.5,-0.105555555556,0.00777777777778,-0.0555555555556,-0.34,-1.27,-0.08,37.28999996185303,4.679999828338623
39,1517152843.5,47.0,0.4666666666666667,0.2,282.875,-14.0,10.25,0,0,0,0.0,-16.5625,-70.875,-27.75,-0.0355555555556,-0.04666666666669999,-0.0188888888889,-0.79,-0.92,0.4,41.97000002861023,4.680000066757202
40,1517152848.14,49.0,0.38823529411764707,0.16862745098039217,283.3125,-16.125,12.25,0,0,0,0.0,-15.1875,-65.25,-28.75,0.0844444444444,0.0333333333333,-0.127777777778,0.36,-1.5,-1.15,46.610000133514404,4.640000104904175
41,1517152852.78,49.0,0.6392156862745098,0.1607843137254902,303.0625,-15.25,11.125,0,0,0,0.0,-9.0,-45.375,-24.5,0.0144444444444,0.05,-0.14444444444399998,-1.16,-2.58,0.35,51.25,4.639999866485596
